,SPX.GI,FTSE.GI,FCHI.GI,GDAXI.GI,N225.GI,HSI.HI,000300.SH,SENSEX.GI
,标普500,英国富时100,法国CAC40,德国DAX,日经225,恒生指数,沪深300,印度SENSEX30
,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价
2009/12/31,1115.1,5412.88,3936.33,,,21872.5,3575.684,17464.81
2010/1/4,1132.99,5500.34,4013.97,6048.3,10654.79,21823.2793,3535.229,17558.73
2010/1/5,1136.52,5522.5,4012.91,6031.86,10681.83,22279.5801,3564.038,17686.24
2010/1/6,1137.14,5530.04,4017.67,6034.33,10731.45,22416.6699,3541.727,17701.13
2010/1/7,1141.69,5526.72,4024.8,6019.36,10681.66,22269.4492,3471.456,17615.72
2010/1/8,1144.98,5534.24,4045.14,6037.61,10798.32,22296.75,3480.13,17540.29
2010/1/11,1146.98,5538.07,4043.09,6040.5,,22411.5195,3482.052,17526.71
2010/1/12,1136.22,5498.71,4000.05,5943,10879.14,22326.6406,3534.916,17422.51
2010/1/13,1145.68,5473.48,4000.86,5963.14,10735.03,21748.5996,3421.144,17509.8
2010/1/14,1148.46,5498.2,4015.77,5988.88,10907.68,21716.95,3469.051,17584.87
2010/1/15,1136.03,5455.37,3954.38,5875.97,10982.1,21654.1602,3482.738,17554.3
2010/1/18,,5494.39,3977.46,5918.55,10855.08,21460.0098,3500.684,17641.08
2010/1/19,1150.23,5513.14,4009.67,5976.48,10764.9,21677.9805,3507.482,17486.06
2010/1/20,1138.04,5420.8,3928.95,5851.53,10737.52,21286.1699,3394.434,17474.49
2010/1/21,1116.48,5335.1,3862.16,5746.97,10868.41,20862.6699,3408.574,17051.14
2010/1/22,1091.76,5302.99,3820.78,5695.32,10590.55,20726.1797,3366.197,16859.68
2010/1/25,1096.78,5260.31,3781.85,5631.37,10512.69,20598.5508,3328.014,16780.46
2010/1/26,1092.17,5276.85,3807.04,5668.93,10325.28,20109.3301,3242.797,
2010/1/27,1097.5,5217.47,3759.8,5643.2,10252.08,20033.0703,3198.566,16289.82
2010/1/28,1084.53,5145.74,3688.79,5540.33,10414.29,20356.3691,3206.57,16306.87
2010/1/29,1073.87,5188.52,3739.46,5608.79,10198.04,20121.9902,3204.155,16357.96
2010/2/1,1089.19,5247.41,3762.01,5654.48,10205.02,20243.75,3152.707,16356.03
